title,description,organizer,deadline,opportunityType,stage,regions,mode,fields,funding,fee,requirements,benefits,programStartDate,programEndDate,fundingAmount,applicationLink,isFeatured
VU Amsterdam Summer School Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
United Nations International Law Fellowship Programme,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
British Council + Santander English Online Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
European Forum Alpbach Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Australia Awards Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Fulbright Foreign Student Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Government of Ireland International Education Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Leicester International Undergraduate Tuition Fee Waiver,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Imperial College London Sanctuary Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
PTDF Overseas Postgraduate Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Manchester Humanitarian Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Joint Japan/World Bank Graduate Scholarship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
"Think Big Scholarships, University of Bristol",,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Fulbright Foreign Program for Nigerian Students,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Imperial College London Jack Hirst Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Birmingham City University Henderson Bursaries and Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Bradford Bestway Foundation Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Government of Mauritius Undergraduate Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Wells Mountain Initiative Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
DAAD Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Mastercard Foundation Scholars Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Chevening Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Gates Cambridge Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Rhodes Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Erasmus Mundus Joint Masters Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
MEXT Japanese Government Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Vanier Canada Graduate Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Knight-Hennessy Scholars,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Clarendon Fund Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Swedish Institute Scholarships for Global Professionals,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Eiffel Excellence Scholarship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
New Zealand Manaaki Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
ADB-Japan Scholarship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Orange Knowledge Programme,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Aga Khan Foundation International Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Rotary Peace Fellowship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Commonwealth Master’s Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Commonwealth PhD Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Heinrich Böll Foundation Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Friedrich Ebert Stiftung Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Konrad Adenauer Stiftung Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Holland Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Maastricht University NL-High Potential Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
ETH Excellence Scholarship & Opportunity Programme,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
EPFL Excellence Fellowships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Sciences Po Émile Boutmy Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Bocconi Merit Awards,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Politecnico di Milano Merit-Based Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Bologna Study Grants,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Danish Government Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Finland Government Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Chinese Government Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Stipendium Hungaricum,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Czech Government Scholarships for Developing Countries,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
IsDB Scholarship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
UNICAF Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Brandeis University Wien International Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Clark University Global Scholars Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Emory University Need-Based Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Harvard University Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Illinois State University International Awards,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
WorldStrides Diversity Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
CIS Abroad Scholarships and Financial Aid,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Jackie Robinson Foundation Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
ASSE International Student Exchange Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Semester at Sea Inclusive Engagement Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
GLA IDEA Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
GLO Digital Ambassador Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
GLO Founder’s Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Barcelona SAE Scholarships & Grants,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
TEAN Global Opportunity Full-Ride Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
USAC Scholarships and Financial Aid,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
"GlobalScholarships.com $3,000 Scholarship",,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Child Family Health International Awards,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Global Ambassadors Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Benjamin A. Gilman International Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Boren Language Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Tortuga Study Abroad Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
MPOWER Global Citizen Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Fullbright - Aperfeiçoamento para professores de inglês - PDPI,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Adelaide Global Academic Excellence Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
ASBS Global Impact Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of New South Wales International Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Glenmore Medical Postgraduate Scholarship (University of Edinburgh),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
IOE Centenary Doctoral Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
IOE Centenary Masters Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Sussex Chancellor’s International Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Glasgow International Leadership Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
UAL/ISH International Postgraduate Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Warwick Undergraduate Global Excellence Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
ICSP Scholarships (University of Oregon),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
American University Emerging Global Leader Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
AAUW International Fellowships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Illinois Wesleyan University International Student Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Fairleigh Dickinson Scholarships for International Students,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Global Undergraduate Exchange Program (Global UGRAD),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Hubert Humphrey Fellowship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
York University International Student Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Pierre Elliott Trudeau Foundation Doctoral Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Calgary International Entrance Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
International Scholars Program (University of British Columbia),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Lester B. Pearson International Scholarship (University of Toronto),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Canadian International Development Scholarships 2030,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Australia Research Training Program (RTP) Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Melbourne International Undergraduate Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Sydney International Stipend Scholarship (USYDIS),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Griffith Vice Chancellor’s International Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Macquarie Vice-Chancellor’s International Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Government of Flanders Master Mind Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Science@Leuven Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Université Paris-Saclay International Master’s Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of Geneva Excellence Masters Fellowships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Italian Government Scholarships for Foreign Students,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Padua International Excellence Scholarship Programme,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
VUW International Scholarships (Victoria University of Wellington),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
WMF Empowerment Through Education Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Rotary Foundation Global Grant Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of the People Tuition-Free Degrees,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Commonwealth Distance Learning Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
UNCF STEM Scholars Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Hyundai Motor Group Scholarship at SOAS University of London,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Ban Ki-moon Foundation Global Citizen Scholarship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
GeniusCash Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
ICMM Young Leaders Scholarship to Attend One Young World Summit,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Leading St. Louis Scholarship to Attend One Young World Summit,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Barbara Huber Scholarship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Mastercard Foundation Scholars Program at Pan-Atlantic University,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
"IHE Delft Sahel, Middle East and Horn of Africa Scholarships",,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
British Council English and School Education Scholarships Scheme,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Road to Research Scholarship (Macquarie University),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Spärck AI Scholarship (University of Manchester),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
NDDC Foreign Postgraduate Scholarship Programme,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
James Aryam Scholarships for Postgraduate Studies,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Queen Elizabeth Commonwealth Scholarships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
CDC Steven M. Teutsch Prevention Effectiveness Fellowship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
University of the Witwatersrand & University of Edinburgh Sustainable African,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Futures Scholarship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Anne van Biema Fellowship,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Friedrich-Ebert-Stiftung Kenya Political Leadership and Governance Programme,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
UNESCO MAB Young Scientists Awards,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
UNESCO King Hamad Bin Isa Al-Khalifa Prize for the Use of ICT in Education,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
The World Around Young Climate Prize,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Future of Energy Conference Innovation Challenge,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Afreximbank-Edordu Research Competition,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
UNDP Youth Storytelling Challenge (Egypt),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Institute of Human Development Child and Youth Health Youth Advisory Council,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Bechem Humanitarian Network Online Academy & DataCamp,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Young Professionals Bootcamp (Grant Pool Program),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Tsinghua International Summer School on Environment,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Sharjah Film Platform Short Film Production Grant,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
"Support to Human Rights, Democracy and Civil Society in Jordan Grant",,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
AmplifyChange Grants,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Agri-Business Facility for Africa e-Academy Call,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Trust by Design Fintech Challenge,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Youth Innovation Challenge (Marine Conservation – Taiwan),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
UNDP African Academy for Women in Political Leadership,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
ACARE African Women in Science Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Cartier Women’s Initiative Science & Technology Pioneer Award,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Standard Chartered Women in Tech Accelerator,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Sony Women in Technology Award with Nature,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
L’Oréal-UNESCO For Women in Science (Sub-Saharan Africa),,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Canada’s Top 100 Women to Watch Award,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Women Impact Web Grant,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Mama Cash Solidarity Fund,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Remarkable 2026 Mentorship Program for Young Nigerians,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Code for Africa Fact-checking Fellowship Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
CBAI Summer Research Fellowship in AI Safety,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
CIVICUS Digital Action Lab Cohort 3,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Walter Sullivan Award for Excellence in Science Journalism – Features,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Centre for the Study of African Economies Visiting Fellowships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Samuel DuBois Cook Center Undergraduate Summer Research Fellowships,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
MIT Solve,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
1to10 Accelerator by Favcy,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Softdroom AI Accelerator 2025,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Canada Catalyst: Start-up Visa Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Canada Catalyst: Soft Landing Program,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
BEAMP Cycle 6,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
IIMK LIVE BIP 25 R2,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
Saksham 2.0 – Assistive Tech Accelerator,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
NetApp Excellerator Cohort #15,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
EIR Program Cohort 2 – IIMK LIVE,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
RTIH Demo,,Não informado,,Fellowship,Multi-stage,"[""Global""]",Online,"[""Technology""]",Not certain,No-fee,,,,,,,false
